"Mean population (by year of birth) by region, age, sex and year"

"region","age","sex","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"00 Sweden","0 years","men",27342.0,27713.5,28264.0,28860.0,29748.0,28679.5,29154.5,29324.5,29792.0,29997.0,30502.5,29949.5,30016.0,29738.0,29242.5
"00 Sweden","0 years","women",25797.0,26165.0,26568.0,27200.0,28207.0,27377.5,27589.0,27679.5,28148.0,27942.0,29009.0,28357.5,28403.5,27953.5,27552.0
"00 Sweden","1 year","men",52432.5,54963.0,55794.5,56858.0,58043.0,59847.5,57709.0,58674.0,59069.0,60112.0,60673.0,61768.0,60436.0,60512.5,59767.0
"00 Sweden","1 year","women",49801.5,51941.5,52665.5,53425.0,54728.5,56728.5,55074.0,55531.0,55721.0,56794.0,56550.0,58731.0,57252.0,57295.0,56220.0
"00 Sweden","2 years","men",52700.5,52935.0,55515.5,56398.5,57397.0,58587.0,60456.0,58390.0,59423.0,59890.5,61228.5,61805.0,62946.0,61285.5,61170.5
"00 Sweden","2 years","women",49940.5,50420.0,52556.0,53248.0,53912.5,55267.0,57277.0,55616.0,56233.0,56458.5,57820.0,57669.5,59804.0,58110.5,57930.0
"00 Sweden","3 years","men",51849.0,53146.5,53389.0,55999.5,56789.5,57788.5,59039.0,60986.5,59058.0,60234.5,60835.0,62321.0,62644.0,63663.0,61712.0
"00 Sweden","3 years","women",49339.5,50348.0,50887.5,53043.0,53602.5,54292.0,55691.0,57767.5,56134.0,56939.5,57304.5,58790.5,58457.5,60440.0,58538.0
"00 Sweden","4 years","men",50276.5,52237.0,53619.0,53855.5,56364.5,57116.0,58171.5,59547.5,61584.5,59795.5,61251.0,61855.0,63232.5,63282.5,64064.0
"00 Sweden","4 years","women",48070.0,49713.5,50723.5,51321.0,53414.0,53853.0,54673.0,56162.0,58303.5,56778.0,57794.5,58229.5,59571.5,59052.5,60777.0
"00 Sweden","5 years","men",48356.5,50640.5,52618.0,54065.5,54219.5,56660.5,57474.5,58692.0,60100.0,62297.5,60718.5,62291.0,62709.5,63900.5,63618.0
"00 Sweden","5 years","women",45785.0,48426.0,50106.0,51119.0,51644.0,53696.5,54203.0,55182.0,56721.5,58918.0,57609.5,58785.5,59036.0,60159.0,59377.5
"00 Sweden","6 years","men",48272.5,48726.0,51015.0,53006.0,54405.0,54490.0,57004.5,57960.0,59360.5,60719.5,63202.0,61697.5,63091.5,63303.0,64199.5
"00 Sweden","6 years","women",45494.0,46126.0,48791.0,50513.0,51439.0,51892.5,54006.5,54723.5,55798.5,57386.0,59755.5,58504.0,59667.5,59602.0,60468.5
"00 Sweden","7 years","men",46946.0,48686.5,49153.0,51431.0,53370.0,54692.5,54815.5,57532.5,58575.0,60077.0,61564.5,64185.0,62529.5,63706.5,63599.0
"00 Sweden","7 years","women",44753.5,45871.5,46506.0,49176.0,50832.0,51684.0,52213.0,54492.5,55339.0,56478.5,58176.0,60667.5,59249.0,60312.5,59914.0
"00 Sweden","8 years","men",47818.5,47313.0,49085.5,49556.5,51762.5,53670.5,55024.5,55356.0,58166.5,59231.5,60927.0,62519.0,65018.5,63159.5,64088.0
"00 Sweden","8 years","women",44948.0,45080.0,46233.5,46902.0,49475.0,51064.0,51971.0,52752.0,55102.0,55956.5,57305.0,59007.0,61420.0,59819.5,60641.0
"00 Sweden","9 years","men",48164.0,48202.5,47743.0,49516.5,49927.5,52043.0,54001.5,55560.5,56000.0,58832.0,60070.0,61887.0,63344.5,65652.0,63527.5
"00 Sweden","9 years","women",45690.5,45303.0,45453.0,46631.5,47231.0,49712.0,51369.0,52461.0,53391.5,55721.0,56705.5,58185.5,59780.0,62006.0,60126.5
"00 Sweden","10 years","men",50240.0,48566.5,48593.0,48154.5,49871.0,50251.0,52395.0,54555.0,56223.0,56690.5,59640.5,60995.5,62781.0,63974.5,66056.0
"00 Sweden","10 years","women",48225.0,46058.5,45680.5,45843.5,46976.0,47490.0,50033.0,51867.5,53077.5,54043.0,56450.0,57537.5,59010.5,60407.0,62351.5
"00 Sweden","11 years","men",54705.0,50657.0,48986.5,49014.5,48492.0,50174.0,50590.5,52953.5,55211.0,56881.0,57537.5,60537.5,61797.5,63479.5,64345.0
"00 Sweden","11 years","women",51755.5,48600.0,46436.5,46053.0,46192.0,47254.0,47845.0,50555.0,52466.5,53676.5,54807.0,57275.0,58302.5,59650.5,60768.5
"00 Sweden","12 years","men",58841.5,55136.5,51103.5,49396.5,49395.5,48808.0,50550.0,51096.5,53638.5,55869.5,57712.5,58463.0,61370.5,62461.0,63896.0
"00 Sweden","12 years","women",56462.5,52136.0,48973.0,46857.5,46368.0,46473.5,47634.0,48362.0,51170.0,53081.5,54370.5,55577.5,58012.5,58912.0,60024.5
"00 Sweden","13 years","men",61505.5,59216.0,55556.5,51589.0,49746.5,49724.0,49196.0,51154.0,51759.0,54322.5,56714.5,58628.5,59303.5,62051.0,62884.5
"00 Sweden","13 years","women",58899.5,56805.0,52500.0,49368.5,47226.0,46659.0,46779.0,48176.5,48924.0,51769.0,53779.5,55094.0,56272.5,58596.0,59308.0
"00 Sweden","14 years","men",64965.5,61876.5,59663.0,55992.0,52036.0,50101.5,50152.0,49790.0,51917.5,52518.0,55226.5,57689.5,59447.0,59971.5,62491.5
"00 Sweden","14 years","women",61430.5,59263.5,57145.5,52898.0,49721.0,47494.0,47009.5,47275.0,48785.0,49491.0,52472.0,54521.0,55766.0,56851.5,58969.5
"00 Sweden","15 years","men",66482.5,65373.0,62297.0,60190.0,56437.0,52503.0,50655.5,50851.0,50600.5,52791.0,53648.0,56391.5,58541.5,60112.0,60415.5
"00 Sweden","15 years","women",62616.5,61763.5,59635.5,57552.5,53263.5,50047.0,47800.5,47546.5,47887.0,49429.5,50154.5,53206.5,55177.5,56327.0,57225.5
"00 Sweden","16 years","men",66956.0,66976.5,65877.5,62946.5,60783.5,57104.5,53277.5,51540.0,51928.0,51690.0,54252.0,55284.0,57472.5,59206.5,60577.5
"00 Sweden","16 years","women",63555.0,62960.5,62121.0,60087.0,57947.5,53619.0,50469.5,48366.5,48259.5,48589.5,50237.5,50939.5,53898.5,55743.5,56698.5
"00 Sweden","17 years","men",63509.5,67527.0,67617.0,66539.5,63713.0,61561.0,58007.0,54351.0,52733.5,53326.0,53485.5,56250.5,56655.0,58209.5,59649.5
"00 Sweden","17 years","women",60049.0,63929.5,63375.0,62577.5,60544.5,58331.0,54078.5,51071.0,49097.5,49035.0,49486.0,51101.0,51675.0,54484.5,56151.5
